"decimalLongitude","decimalLatitude"
-115.08365,41.02698
-103.92583,42.76639
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.91472,42.74333
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.82278,42.75806
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-103.51056,42.68444
-108.83656,42.73656
-106.41233,41.32207
-106.18425,41.34644
-106.18425,41.34644
-106.18425,41.34644
-106.18425,41.34644
-106.18425,41.34644
-106.18425,41.34644
-106.18425,41.34644
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-117.5133,47.6231
-119.8395,48.6555
-119.9345,48.6886
-111.8878,41.2485
-111.8878,41.2485
-111.9047,41.1513
-111.8978,41.2426
-113,37
-113,37
-111.555,40.6065
-111.7094,40.3247
-111.68,40.34
-111.68,40.34
-112,40
-111.6503,40.2458
-111.0527,39.8938
-111.0527,39.8938
-111.0527,39.8938
-111.0527,39.8938
-111.69096,40.29882
-111.7502,40.4548
-111.61,40.41
-112.5503,40.3458
-112.5503,40.3458
-111.496,40.6619
-111.5845,40.8242
-111.55828,40.68598
-111.55828,40.68598
-111.55828,40.68598
-111.55828,40.68598
-111.55828,40.68598
-111.2802,40.6444
-111.81,40.57
-111.7819,40.5729
-111.64,40.58
-111.7826,40.6715
-112.077,40.48
-111.65,40.68
-111.8321,40.5692
-111.776,40.6902
-111.6906,41.0097
-111.4014,41.1856
-111.7064,41.034
-112.66,37.07
-112.66,37.07
-111,37
-111,37
-111,37
-113,38
-111,37
-111,37
-111.7284,39.7841
-113.027,37.6383
-111.65,37.97611
-110.7794,38.0992
-110.7794,38.0992
-111.58138,37.97083
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-111.7861,38.0886
-111.7861,38.0886
-111.7861,38.0886
-111.7861,38.0886
-111.55555,37.96722
-111.55555,37.96722
-111.7241,37.9737
-111.3302,38.0368
-111.3302,38.0368
-111.3302,38.0368
-111.3302,38.0368
-111.3302,38.0368
-111.3302,38.0368
-111.3302,38.0368
-111.3833,36.0167
-111.3833,36.0167
-111.3833,36.0167
-111.3833,36.0167
-111.377,38.01
-111,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-111,38
-111,38
-111,38
-111,38
-111,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-111,38
-111,38
-111,38
-111,38
-111,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-111,38
-112,38
-112,38
-112,38
-112,38
-112,38
-112,38
-111.9174,41.1107
-109.9965,40.8429
-109.9965,40.8429
-109.9965,40.8429
-109.9965,40.8429
-111.81168,41.75778
-111.81168,41.75778
-111.81168,41.75778
-111.81168,41.75778
-111.64246,41.89436
-111.64246,41.89436
-111.64246,41.89436
-113.40052,41.90004
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.34954,41.94909
-113.44881,41.96012
-103.8411,44.0276
-103.8248,44.1497
-103.5605,43.7072
-103.6609,43.8699
-118.06286,45.15691
-118.06286,45.15691
-118.06301,45.15706
-118.06301,45.15706
-118.06301,45.15706
-118.06301,45.15706
-117.57153,45.01301
-123.33,44.81181
-123.33,44.81181
-123.33,44.81181
-123.51,42.11
-123.18,43.96
-120.349,42.1836
-120.349,42.1836
-120.349,42.1836
-120.349,42.1836
-120.349,42.1836
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.21477,42.38925
-122.30127,42.90313
-122.73063,42.08349
-122.6074,42.27179
-119.31429,44.38357
-119.29968,44.34654
-117.57936,45.00649
-108.8584,33.6931
-115.47797,41.79013
-115.44721,40.66422
-115.44721,40.66422
-111,44
-114.24847,46.06763
-110.56695,45.31757
-114.52659,46.70816
-111.259,44.7438
-111.259,44.7438
-111.259,44.7438
-111.259,44.7438
-111.259,44.7438
-111.259,44.7438
-111.259,44.7438
-111.259,44.7438
-111.26383,44.75118
-111.26383,44.75118
-111.26383,44.75118
-113.98406,48.30446
-113.98406,48.30446
-113.98406,48.30446
-113.98406,48.30446
-113.98406,48.30446
-113.98406,48.30446
-115.01229,48.02376
-110.67823,46.85804
-110.67823,46.85804
-116.07214,44.90815
-113.6523,42.2043
-113.6573,42.2158
-116.27901,48.85286
-116.70358,48.29945
-116.18861,44.98977
-106.1513,39.7184
-107.2667,39.1333
-107.2667,39.1333
-105.48759,40.39179
-105.48759,40.39179
-105.48759,40.39179
-105.48759,40.39179
-105.48759,40.39179
-106.9599,38.9186
-106.9599,38.9186
-106.9599,38.9186
-106.9599,38.9186
