"decimalLongitude","decimalLatitude"
-105.27,40.015
-105.7572,38.29328
-105.7572,38.29328
-124.1157,40.9251
-114.6636,50.5833
-118.7367,48.6483
-113.4286,48.7439
-120.1442,38.7969
-119.4833,49.9
-122.65,49.1
-117.9378,44.9117
-109.3094,35.81389
-122.6603,45.7547
-105.27,40.015
-105.2869,40.0028
-105.2869,40.0028
-105.2869,40.0028
-105.27,40.015
-106.9258,37.8492
-105.27,40.015
-106.9892,38.95917
-106.8281,39.4384
-105.7083,40.3333
-105.2869,40.0028
-119.6,49.06
-107.7333,49.2333
-107.7333,49.2333
-119.6,49.06
-105.5886,39.905
-135.05,60.7166
-137.4,62.8
-122.6,47.6166
-122.6,47.6166
-122.6,47.6166
-124.10361,44.31139
-124.08167,40.86667
-124.06528,41.54694
-124.05222,44.63694
-123.606,44.3764
-123.60139,46.98139
-123.59528,44.38167
-123.59528,44.38167
-123.55,44.5044
-123.34056,43.21667
-123.34056,43.21667
-123.34056,43.21667
-123.34056,43.21667
-123.34056,43.21667
-123.34056,43.21667
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.26083,44.56472
-123.25338,47.48035
-123.18556,44.85139
-123.18556,44.85139
-123.17083,45.85333
-123.10944,45.52
-123.10944,45.52
-123.10472,44.63667
-123.10444,44.12583
-123.051,42.432
-123.03389,44.94306
-123.01583,48.53444
-123.00417,45.73056
-122.98861,45.52306
-122.96778,44.51028
-122.925,45.699
-122.925,45.699
-122.925,45.699
-122.925,45.699
-122.925,45.699
-122.901,38.55
-122.901,38.55
-122.901,38.55
-122.901,38.55
-122.901,38.55
-122.901,38.55
-122.901,38.55
-122.901,38.55
-122.818,42.275
-122.7073,42.5432
-122.70306,41.065
-122.70306,41.065
-122.70306,41.065
-122.66222,45.49
-122.5429,46.0547
-122.5429,46.0547
-122.48694,48.75972
-122.46056,43.74667
-122.41833,37.775
-122.39472,42.40556
-122.39472,42.40556
-122.39472,42.40556
-122.39472,42.40556
-122.352,37.564
-122.345,44.154
-122.345,44.154
-122.345,44.154
-122.33083,47.60639
-122.31562,42.44447
-122.28956,47.57843
-122.16917,37.42722
-122.16917,37.42722
-122.16917,37.42722
-122.16917,37.42722
-122.16917,37.42722
-122.16917,37.42722
-122.16917,37.42722
-122.16278,44.17528
-122.16278,44.17528
-122.151,42.942
-122.14194,37.44194
-122.13778,43.17889
-122.13778,43.17889
-122.1345,42.8971
-122.134,42.897
-122.134,42.897
-122.134,42.897
-122.11667,42.93333
-122.11667,42.93333
-122.11667,42.93333
-122.10556,42.94389
-121.97778,44.78306
-121.97778,44.78306
-121.97778,44.78306
-121.8158,45.3143
-121.8158,45.3143
-121.8158,45.3143
-121.8158,45.3143
-121.81139,46.75
-121.79,45.58
-121.72842,46.78288
-121.69592,45.37351
-121.6944,45.3736
-121.6944,45.2956
-121.05972,39.92972
-121.05972,39.92972
-121.01013,48.15178
-120.583,44.1454
-120.18333,38.95
-119.751,37.25
-119.0851,48.94485
-118.73667,48.64833
-118.64667,42.73722
-118.64667,42.73722
-118.64667,42.73722
-118.42028,45.50667
-118.41472,44.03833
-118.3942,45.1329
-118.231,44.96
-118.231,44.96
-118.231,44.96
-118.231,44.96
-118.231,44.96
-118.231,44.96
-118.231,44.96
-118.088,45.325
-118.08667,45.32472
-118.08667,45.32472
-117.939,44.912
-117.91889,45.02861
-117.91889,45.02861
-117.83333,44.775
-117.32306,44.87111
-117.22083,45.335
-117.20333,45.20833
-117.17861,46.73139
-117.17861,46.73139
-117.1675,44.76917
-117.14,47.00806
-117.01667,46.41667
-116.99917,43.7325
-116.86685,48.58798
-116.86685,48.58798
-116.86549,46.08702
-116.67642,46.73603
-116.38472,44.95528
-116.1375,46.39111
