gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
991931195	aae308f4-9f9c-4cdd-b4ef-c026f48be551	98184609-89dd-4a48-bd1b-9c0ba9755a00	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	Boulder	Colorado	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	40.015	-105.27			5500.0	0.0			1953-06-28	28	6	1953	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	474944		Boyd, Crystal	2011-01-01T00:00:00	CC_BY_4_0		Grant, H			2025-07-27T21:41:03.651Z		GEODETIC_DATUM_ASSUMED_WGS84
991931186	aae308f4-9f9c-4cdd-b4ef-c026f48be551	dee98fba-6366-49a9-a5d7-45f3c478ae10	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	Coaldale, 5 mi S	Colorado	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	38.29328	-105.7572			7300.0	0.0			1969-08-13	13	8	1969	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	475085		Boyd, Crystal	2011-01-01T00:00:00	CC_BY_4_0		Michener, Charles			2025-07-27T21:40:44.587Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
991931174	aae308f4-9f9c-4cdd-b4ef-c026f48be551	b46d31bc-b408-4938-ae1c-7295777f3a59	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	Coaldale, 5 mi S	Colorado	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	38.29328	-105.7572			7300.0	0.0			1968-08-11	11	8	1968	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	474977		Boyd, Crystal	2011-01-01T00:00:00	CC_BY_4_0		Michener & McGee			2025-07-27T21:41:03.017Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
911594137	aae308f4-9f9c-4cdd-b4ef-c026f48be551	e27f8631-a36f-47ca-9bcf-1f9ba7085a11	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	Mad River Beach	California	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	40.9251	-124.1157							1976-06-27	27	6	1976	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	474933		Miller, J	1991-01-01T00:00:00	CC_BY_4_0		Brooks, Robert			2025-07-27T21:41:04.103Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
911594111	aae308f4-9f9c-4cdd-b4ef-c026f48be551	96012f41-e5b4-4c8c-8728-dc126bbe8ea9	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		CA	Highwood River; 35 mi W High River	Alberta	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	50.5833	-114.6636			4800.0	0.0			1975-08-05	5	8	1975	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	475067		Miller, J	1990-01-01T00:00:00	CC_BY_4_0		Michener, Charles			2025-07-27T21:41:02.116Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
911594087	aae308f4-9f9c-4cdd-b4ef-c026f48be551	b4c86e59-b78a-4819-9153-22704cf69ae8	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	Republic	Washington	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	48.6483	-118.7367							1931-08-06	6	8	1931	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	475022				CC_BY_4_0		Nottingham, J			2025-07-27T21:41:22.145Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID
911594062	aae308f4-9f9c-4cdd-b4ef-c026f48be551	0af1ff27-d4bb-4823-9986-433263620ade	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	St Mary	Montana	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	48.7439	-113.4286			4600.0	0.0			1971-07-26	26	7	1971	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	475034		Miller, J	1990-01-01T00:00:00	CC_BY_4_0		Michener, Charles			2025-07-27T21:40:51.464Z		GEODETIC_DATUM_ASSUMED_WGS84
911594037	aae308f4-9f9c-4cdd-b4ef-c026f48be551	cf6ca2d8-1225-423c-85ab-cb15cdf42de8	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		US	Strawberry	California	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	38.7969	-120.1442							1929-08-08	8	8	1929	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	475005				CC_BY_4_0		Anderson, Lauren			2025-07-27T21:41:35.456Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
911594009	aae308f4-9f9c-4cdd-b4ef-c026f48be551	0ff98599-1f60-48ad-8212-3b641f5ffa03	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		CA	Kelowna	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.9	-119.4833							1985-05-27	27	5	1985	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	1256441		Miller, J	1991-01-01T00:00:00	CC_BY_4_0		Scott, C			2025-07-27T21:41:09.816Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
911593991	aae308f4-9f9c-4cdd-b4ef-c026f48be551	eba92485-e222-4dc2-be71-c9cfea1698b7	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus occidentalis		SPECIES	Bombus occidentalis Greene, 1858	Bombus (Bombus) occidentalis		CA	Langley	British Columbia	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	49.1	-122.65							1982-05-26	26	5	1982	1340429	1340429	PRESERVED_SPECIMEN	KU	SEMC	1256440		Miller, J	1991-01-01T00:00:00	CC_BY_4_0		Mackenzie, K			2025-07-27T21:40:44.851Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
