"Variable","Status","Final_VIF","VIF_Category"
"wc2.1_2.5m_bio_10","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_11","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_12","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_16","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_17","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_18","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_19","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_4","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_5","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_6","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_7","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_2","RETAINED",2.079,"Low collinearity"
"wc2.1_2.5m_bio_3","RETAINED",2.278,"Low collinearity"
"wc2.1_2.5m_bio_9","RETAINED",2.344,"Low collinearity"
"wc2.1_2.5m_bio_8","RETAINED",2.677,"Low-moderate collinearity"
"wc2.1_2.5m_bio_13","RETAINED",4.287,"Low-moderate collinearity"
"wc2.1_2.5m_bio_14","RETAINED",5.013,"Moderate collinearity"
"wc2.1_2.5m_bio_1","RETAINED",5.48,"Moderate collinearity"
"wc2.1_2.5m_bio_15","RETAINED",6.199,"Moderate collinearity"
