"Variable","Status","Final_VIF","VIF_Category"
"wc2.1_2.5m_bio_10","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_11","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_12","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_16","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_17","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_18","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_19","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_4","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_5","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_6","REMOVED",NA,"Removed (High VIF)"
"wc2.1_2.5m_bio_7","REMOVED",NA,"Removed (High VIF)"
"NLCD Land Cover Class","RETAINED",1.235,"Low collinearity"
"wc2.1_2.5m_bio_2","RETAINED",2.026,"Low collinearity"
"wc2.1_2.5m_bio_3","RETAINED",2.315,"Low collinearity"
"wc2.1_2.5m_bio_9","RETAINED",2.355,"Low collinearity"
"wc2.1_2.5m_bio_8","RETAINED",2.726,"Low-moderate collinearity"
"wc2.1_2.5m_bio_13","RETAINED",3.855,"Low-moderate collinearity"
"wc2.1_2.5m_bio_14","RETAINED",4.83,"Low-moderate collinearity"
"wc2.1_2.5m_bio_1","RETAINED",5.437,"Moderate collinearity"
"wc2.1_2.5m_bio_15","RETAINED",6.556,"Moderate collinearity"
